"subject_oexp"	"Subject"	"Age"	"Handedness"	"ResearcherID"	"SessionTime"	"Sex"	"Block"	"CorrectLeft"	"CorrectRight"	"Stimulus.CRESP"	"Stimulus.RESP"	"Stimulus.ACC"	"Stimulus.RT"	"Stimulus8"	"oexperiment"	"spelling"	"group"
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	6	1	5	5	5	1	988	"semonce"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	5	5	1	1	1	1	916	"huif"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	1	1	5	5	5	1	2353	"cheveux"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	18	5	1	1	5	0	992	"jamain"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	19	1	5	5	1	0	1890	"ennemi"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	20	1	5	5	5	1	1354	"pouce"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	17	5	1	1	5	0	1276	"endifier"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	22	1	5	5	1	0	1992	"fosse"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	23	1	5	5	5	1	1302	"inciter"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	24	1	5	5	5	1	1575	"salière"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	21	5	1	1	1	1	804	"metter"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	26	5	1	1	5	0	2724	"cessure"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	2	5	1	1	1	1	1520	"soumon"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	3	1	5	5	1	0	2001	"cloche"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	4	1	5	5	5	1	2386	"fascine"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	30	1	5	5	5	1	1453	"lézard"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	31	5	1	1	1	1	6356	"sacher"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	32	1	5	5	5	1	2517	"nouer"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	33	1	5	5	5	1	1747	"occire"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	34	5	1	1	5	0	1388	"écouce"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	35	5	1	1	5	0	5299	"osseaux"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	36	5	1	1	5	0	2499	"rejoute"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	37	1	5	5	1	0	757	"escroc"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	25	1	5	5	5	1	2285	"fouet"	"1"	"-spelling"	2
"10_1"	10	20	"right"	"Ilse"	"12:27:11"	"male"	38	1	5	5	5	1	1002	"hache"	"1"	"-spelling"	2
